time_s,odrive_pos_rad,output_pos_rad,diff_rad,odrive_disp_rad,output_disp_rad,motor_on_output_side_rad,backlash_rad
13.017635,28.664037,2.806034,25.858003,-1.3318839999999987,-0.10450199999999965,-0.09513457142857133,0.009367428571428318
13.020964,28.70911,2.804117,25.904993,-1.2868110000000001,-0.10258499999999993,-0.09191507142857144,0.010669928571428483
13.024256,28.757957,2.800665,25.957292,-1.237963999999998,-0.0991329999999997,-0.08842599999999987,0.010706999999999828
13.02686,28.795821,2.796063,25.999758,-1.200099999999999,-0.09453099999999992,-0.0857214285714285,0.008809571428571417
13.029985,28.84528,2.792612,26.052668,-1.1506410000000002,-0.09107999999999983,-0.08218864285714288,0.008891357142856951
13.033334,28.890805,2.789544,26.101261,-1.1051159999999989,-0.08801199999999954,-0.07893685714285706,0.009075142857142476
13.035824,28.934206,2.78686,26.147347,-1.0617149999999995,-0.08532799999999963,-0.07583678571428568,0.00949121428571395
13.039217,28.981002,2.783408,26.197594,-1.014918999999999,-0.08187599999999984,-0.07249421428571422,0.00938178571428562
13.043161,29.040024,2.778806,26.261218,-0.9558970000000002,-0.07727399999999962,-0.06827835714285715,0.008995642857142466
13.044832,29.070976,2.776122,26.294855,-0.9249449999999975,-0.07458999999999971,-0.06606749999999982,0.008522499999999891
13.048612,29.122314,2.77267,26.349643,-0.8736069999999998,-0.07113799999999992,-0.062400499999999984,0.00873749999999994
13.051528,29.165655,2.769986,26.395669,-0.8302659999999982,-0.06845399999999957,-0.059304714285714155,0.009149285714285416
13.054681,29.211425,2.765384,26.446042,-0.7844960000000007,-0.0638519999999998,-0.056035428571428625,0.007816571428571173
13.057576,29.253232,2.762699,26.490533,-0.7426889999999986,-0.06116699999999975,-0.053049214285714186,0.008117785714285564
13.060615,29.298551,2.759248,26.539303,-0.6973699999999994,-0.057715999999999656,-0.04981214285714281,0.007903857142856845
13.063796,29.351158,2.75618,26.594978,-0.6447629999999975,-0.05464799999999981,-0.046054499999999825,0.008593499999999983
13.066737,29.395964,2.753112,26.642852,-0.5999569999999999,-0.051579999999999515,-0.042854071428571415,0.0087259285714281
13.069703,29.439638,2.74851,26.691128,-0.5562830000000005,-0.04697799999999974,-0.03973450000000004,0.0072434999999997016
13.072714,29.493423,2.745442,26.747981,-0.5024979999999992,-0.043909999999999894,-0.03589271428571423,0.008017285714285664
13.075556,29.528312,2.741991,26.786322,-0.4676089999999995,-0.0404589999999998,-0.03340064285714282,0.0070583571428569775
